,Date,Heure,Comp,Tour,Jour,Tribune,Résultat,BM,BE,Adversaire,xG,xGA,Poss,Affluence,Capitaine,Formation,Arbitre,Rapport de match,Notes,Dist,CF,PénM,PénT,Buts,Tirs,TC,TC%,B/Tir,B/TC,Saison,Equipe
27,2022-01-16,20:45,Ligue 1,Journée 21,Dim,Domicile,N,1,1,Lille,1.6,0.7,75.0,5034.0,Dimitri Payet,4-3-3,Amaury Delerue,Rapport de match,,15.9,2.0,0.0,0.0,1.0,23.0,8.0,34.8,0.04,0.13,2022,Marseille
28,2022-01-22,21:00,Ligue 1,Journée 22,Sam,Extérieur,V,2,0,Lens,1.4,0.8,52.0,5000.0,Dimitri Payet,4-1-4-1,Stéphanie Frappart,Rapport de match,,18.4,1.0,1.0,1.0,2.0,9.0,5.0,55.6,0.11,0.2,2022,Marseille
30,2022-02-01,21:00,Ligue 1,Journée 14,Mar,Extérieur,D,1,2,Lyon,0.5,1.5,45.0,,Dimitri Payet,4-3-3,Benoît Bastien,Rapport de match,,20.8,0.0,0.0,0.0,1.0,9.0,1.0,11.1,0.11,1.0,2022,Marseille
31,2022-02-04,21:00,Ligue 1,Journée 23,Ven,Domicile,V,5,2,Angers,2.5,0.5,59.0,60000.0,Dimitri Payet,4-4-2◆,Jeremy Stinat,Rapport de match,,15.7,1.0,0.0,0.0,5.0,18.0,8.0,44.4,0.28,0.63,2022,Marseille
33,2022-02-13,20:45,Ligue 1,Journée 24,Dim,Extérieur,V,2,1,Metz,1.4,1.0,55.0,25482.0,Dimitri Payet,4-3-3,Eric Wattellier,Rapport de match,,16.7,0.0,0.0,0.0,2.0,13.0,5.0,38.5,0.15,0.4,2022,Marseille
35,2022-02-20,20:45,Ligue 1,Journée 25,Dim,Domicile,D,0,2,Clermont Foot,1.4,0.8,64.0,53840.0,Dimitri Payet,4-3-3,Willy Delajod,Rapport de match,,17.6,0.0,0.0,0.0,0.0,18.0,4.0,22.2,0.0,0.0,2022,Marseille
37,2022-02-27,17:05,Ligue 1,Journée 26,Dim,Extérieur,N,1,1,Troyes,1.1,1.4,58.0,16871.0,Dimitri Payet,4-3-3,François Letexier,Rapport de match,,23.1,1.0,1.0,1.0,1.0,7.0,2.0,28.6,0.0,0.0,2022,Marseille
38,2022-03-06,20:45,Ligue 1,Journée 27,Dim,Domicile,D,0,1,Monaco,0.7,0.8,66.0,56510.0,Dimitri Payet,4-2-3-1,Antony Gautier,Rapport de match,,14.1,0.0,0.0,0.0,0.0,14.0,2.0,14.3,0.0,0.0,2022,Marseille
40,2022-03-13,20:45,Ligue 1,Journée 28,Dim,Extérieur,V,4,1,Brest,2.2,0.6,52.0,14611.0,Boubacar Kamara,4-3-2-1,Ruddy Buquet,Rapport de match,,17.6,1.0,0.0,0.0,4.0,13.0,7.0,53.8,0.31,0.57,2022,Marseille
42,2022-03-20,20:45,Ligue 1,Journée 29,Dim,Domicile,V,2,1,Nice,1.3,1.3,57.0,64722.0,Dimitri Payet,3-4-3,Jérôme Brisard,Rapport de match,,20.1,0.0,1.0,1.0,2.0,12.0,5.0,41.7,0.08,0.2,2022,Marseille
43,2022-04-03,15:00,Ligue 1,Journée 30,Dim,Extérieur,V,4,2,Saint-Étienne,3.7,0.3,69.0,41278.0,Dimitri Payet,4-2-3-1,Clément Turpin,Rapport de match,,17.8,1.0,2.0,2.0,3.0,13.0,7.0,53.8,0.08,0.14,2022,Marseille
45,2022-04-10,21:00,Ligue 1,Journée 31,Dim,Domicile,V,2,0,Montpellier,2.8,0.9,60.0,51131.0,Steve Mandanda,4-3-3,Jeremy Stinat,Rapport de match,,18.2,2.0,1.0,1.0,2.0,10.0,4.0,40.0,0.1,0.25,2022,Marseille
47,2022-04-17,20:45,Ligue 1,Journée 32,Dim,Extérieur,D,1,2,Paris S-G,0.8,1.3,57.0,46000.0,Dimitri Payet,4-3-3,François Letexier,Rapport de match,,12.1,0.0,0.0,0.0,1.0,3.0,1.0,33.3,0.33,1.0,2022,Marseille
48,2022-04-20,21:00,Ligue 1,Journée 33,Mer,Domicile,V,3,2,Nantes,3.2,0.5,75.0,55890.0,Dimitri Payet,4-3-3,Ruddy Buquet,Rapport de match,,18.0,1.0,2.0,2.0,3.0,17.0,4.0,23.5,0.06,0.25,2022,Marseille
49,2022-04-24,20:45,Ligue 1,Journée 34,Dim,Extérieur,V,1,0,Reims,0.7,0.6,70.0,20835.0,Steve Mandanda,4-3-3,Jérôme Brisard,Rapport de match,,25.0,1.0,0.0,0.0,1.0,14.0,3.0,21.4,0.07,0.33,2022,Marseille
